t[sec];q1[m3/h];h1[m];h2[m];q2_measurement[m3/h]
216;0,01;0,073448946;0,040083817;0,010777364
216,5;0,01;0,073444177;0,040080359;0,009893091
217;0,01;0,073439604;0,040077043;0,007345935
217,5;0,01;0,07343522;0,040073864;0,009075302
218;0,01;0,073431017;0,040070817;0,009165051
218,5;0,01;0,073426987;0,040067895;0,009818478
219;0,01;0,073423123;0,040065093;0,010137732
219,5;0,01;0,073419419;0,040062407;0,012586772
220;0,01;0,073415867;0,040059832;0,01183992
220,5;0,01;0,073412462;0,040057364;0,008803196
221;0,01;0,073409197;0,040054997;0,009970669
221,5;0,01;0,073406067;0,040052727;0,011322418
222;0,01;0,073403066;0,040050551;0,010148403
222,5;0,01;0,073400189;0,040048466;0,009163879
223;0,01;0,07339743;0,040046466;0,009709998
223,5;0,01;0,073394786;0,040044548;0,010762734
224;0,01;0,07339225;0,04004271;0,009560923
224,5;0,01;0,073389819;0,040040948;0,008887929
225;0,01;0,073387488;0,040039258;0,010607864
225,5;0,01;0,073385254;0,040037638;0,008089459
226;0,01;0,073383111;0,040036085;0,011088875
226,5;0,01;0,073381057;0,040034596;0,011255515
227;0,01;0,073379088;0,040033168;0,009047541
227,5;0,01;0,0733772;0,040031799;0,010455299
228;0,01;0,07337539;0,040030487;0,010043976
228,5;0,01;0,073373654;0,040029229;0,009917833
229;0,01;0,073371991;0,040028023;0,010637752
229,5;0,01;0,073370395;0,040026866;0,010536688
230;0,01;0,073368866;0,040025758;0,010587821
230,5;0,01;0,0733674;0,040024695;0,01004343
231;0,01;0,073365994;0,040023676;0,008579926
231,5;0,01;0,073364646;0,040022699;0,009564091
232;0,01;0,073363354;0,040021762;0,010242815
232,5;0,01;0,073362115;0,040020864;0,009655763
233;0,01;0,073360928;0,040020003;0,009582899
233,5;0,01;0,073359789;0,040019177;0,009674816
234;0,01;0,073358697;0,040018386;0,009972047
234,5;0,01;0,07335765;0,040017627;0,008615889
235;0,01;0,073356647;0,0400169;0,011014262
235,5;0,01;0,073355685;0,040016202;0,011162707
236;0,01;0,073354762;0,040015534;0,010493259
236,5;0,01;0,073353878;0,040014893;0,008576771
237;0,01;0,07335303;0,040014278;0,006999103
237,5;0,01;0,073352217;0,040013689;0,010458738
238;0,01;0,073351438;0,040013124;0,01013632
238,5;0,01;0,073350691;0,040012582;0,007793752
239;0,01;0,073349975;0,040012063;0,009402214
239,5;0,01;0,073349288;0,040011565;0,009812096
240;0,01;0,073348629;0,040011088;0,008982741
240,5;0,01;0,073347998;0,04001063;0,009629776
241;0,01;0,073347393;0,040010192;0,009018585
241,5;0,01;0,073346813;0,040009771;0,009954792
242;0,01;0,073346257;0,040009368;0,009211819
242,5;0,01;0,073345723;0,040008981;0,008776663
243;0,01;0,073345212;0,04000861;0,0097117
243,5;0,01;0,073344722;0,040008255;0,009965558
